STC,DCArrayOutput_W_,Vmp,Imp,CellTemperature_C_,PlaneOfArrayIrradiance_W_m_2_,Fill Factor,Gamma,Pmp,Voc,Isc
-2,3772.327,36.33172302,1.095984553,16.107,281.111,2.595129269,0.141648698,39.81900722,28.80097715,3.587915457
-2,4715.409,36.33172302,1.369980764,16.107,281.111,4.669694852,0.177060882,49.77376167,44.33885631,5.242090076
-2,7261.541,37.43643782,2.047459745,26.713,527.216,1.476774904,0.145385571,76.64959944,29.7499666,3.804851494
-2,9076.926,37.43643782,2.559324611,26.713,527.216,2.391698263,0.181731959,95.81199667,44.02377701,5.205218669
-2,9582.691,35.92414788,2.815672276,36.542,712.905,1.08182633,0.141885142,101.1506272,30.34986032,3.605532636
1,11978.364,35.92414788,3.519590418,36.542,712.905,1.913898929,0.177356431,126.4382867,45.23912131,5.349133546
-2,10885.354,35.29686066,3.255274173,40.619,820.486,0.953451353,0.140040121,114.9009589,30.42706629,3.600494167
-2,13606.691,35.29686066,4.069092267,40.619,820.486,1.637532102,0.175050132,143.6261828,44.80440698,5.249315878
-2,11163.148,34.55571704,3.409948888,45.436,861.077,0.747123117,0.136844009,117.8332289,29.50137845,2.98412935
1,13953.936,34.55571704,4.262436415,45.436,861.077,1.629109283,0.171055024,147.2915467,44.4929274,5.393082453
-2,10634.07,34.52448346,3.251272877,45.639,822.329,0.89786742,0.13650074,112.2485167,29.25803022,3.444670925
-2,13292.588,34.52448346,4.064091249,45.639,822.329,1.569911466,0.170625931,140.3106511,44.27935551,4.974672677
-2,9191.817,34.72557848,2.794042295,44.332,710.81,0.972036874,0.136498832,97.024735,29.58248017,3.188090368
-2,11489.772,34.72557848,3.492553097,44.332,710.81,1.95431454,0.170623552,121.2809267,44.59308543,5.315197998
-2,6820.688,35.3205551,2.038364089,40.465,528.377,1.434277512,0.136259056,71.99615111,28.61096795,3.609191436
-2,8525.86,35.3205551,2.547955111,40.465,528.377,2.601340565,0.17032382,89.99518889,45.10299091,5.190523529
-2,3616.468,37.16902914,1.027033252,28.451,282.953,2.56789106,0.134912261,38.17382889,29.44997676,3.328567446
